2022-05-20 15:09:04.228  WARN 6356 --- [restartedMain] org.hibernate.orm.deprecation            : HHH90000014: Found use of deprecated [org.hibernate.id.SequenceGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
2022-05-20 15:09:04.228  WARN 6356 --- [restartedMain] org.hibernate.orm.deprecation            : HHH90000014: Found use of deprecated [org.hibernate.id.SequenceGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
2022-05-20 15:09:04.228  WARN 6356 --- [restartedMain] org.hibernate.orm.deprecation            : HHH90000014: Found use of deprecated [org.hibernate.id.SequenceGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
2022-05-20 15:09:04.228  WARN 6356 --- [restartedMain] org.hibernate.orm.deprecation            : HHH90000014: Found use of deprecated [org.hibernate.id.SequenceGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
2022-05-20 15:09:04.228  WARN 6356 --- [restartedMain] org.hibernate.orm.deprecation            : HHH90000014: Found use of deprecated [org.hibernate.id.SequenceGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
2022-05-20 15:09:04.228  WARN 6356 --- [restartedMain] org.hibernate.orm.deprecation            : HHH90000014: Found use of deprecated [org.hibernate.id.SequenceGenerator] sequence-based id generator; use org.hibernate.id.enhanced.SequenceStyleGenerator instead.  See Hibernate Domain Model Mapping Guide for details.
2022-05-20 15:10:02.321  INFO 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4de531a9: startup date [Fri May 20 15:07:03 IST 2022]; root of context hierarchy
2022-05-20 15:10:02.602 DEBUG 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Looking for request mappings in application context: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4de531a9: startup date [Fri May 20 15:07:03 IST 2022]; root of context hierarchy
2022-05-20 15:10:02.634 DEBUG 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : 1 request handler methods found on class com.Reimbursement.controllers.MyErrorController: {public java.lang.String com.Reimbursement.controllers.MyErrorController.handleError(javax.servlet.http.HttpServletRequest)={[/error]}}
2022-05-20 15:10:02.634  INFO 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public java.lang.String com.Reimbursement.controllers.MyErrorController.handleError(javax.servlet.http.HttpServletRequest)
2022-05-20 15:10:02.665 DEBUG 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : 23 request handler methods found on class com.Reimbursement.controllers.site.CommonController: {public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.fetchAllLocations()={[/viewAllLocations],methods=[GET]}, public java.util.Map com.Reimbursement.controllers.site.CommonController.locationEventUpdate(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)={[/locationEvent/update],methods=[POST]}, public java.util.Map com.Reimbursement.controllers.site.CommonController.editExistLocation(org.springframework.ui.ModelMap,int)={[/common/editLocation/{location_id}],methods=[GET]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.editVendorDetails(int)={[/editVendorDetails/{vendor_Id}],methods=[GET]}, public java.util.Map com.Reimbursement.controllers.site.CommonController.deleteOrgnigationRole(org.springframework.ui.ModelMap,int)={[/common/deleteRole/{role_id}],methods=[GET]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.changePasswordDoing(java.lang.String,java.lang.String,java.lang.String)={[/changePassword],methods=[POST]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.loginPage(java.lang.String)={[/login],methods=[GET]}, public java.util.Map com.Reimbursement.controllers.site.CommonController.deleteLocation(org.springframework.ui.ModelMap,int)={[/common/deleteLocation/{location_id}],methods=[GET]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.accessDenied()={[/access-denied],methods=[GET]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.allVendors()={[/allVendors],methods=[GET]}, public java.util.Map com.Reimbursement.controllers.site.CommonController.updateExistRole(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)={[/roles/update],methods=[POST]}, public java.util.Map com.Reimbursement.controllers.site.CommonController.locationEventAdd(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)={[/locationEvent/add],methods=[POST]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.error500()={[/500],methods=[GET]}, public java.lang.String com.Reimbursement.controllers.site.CommonController.defaultPage()={[/],methods=[GET]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.error404()={[/404],methods=[GET]}, public java.util.Map com.Reimbursement.controllers.site.CommonController.addNewRole(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)={[/roles/add],methods=[POST]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.fetchAllRoles()={[/viewAllRoles],methods=[GET]}, public java.util.Map com.Reimbursement.controllers.site.CommonController.editExistRole(org.springframework.ui.ModelMap,int)={[/common/editRole/{role_id}],methods=[GET]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.wrongAccess()={[/wrongAccess],methods=[GET]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.changePassword()={[/changePwd],methods=[GET]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.addNewVendor(javax.servlet.http.HttpServletRequest)={[/addNewVendor],methods=[GET]}, public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.addVendor(org.springframework.ui.ModelMap,com.Reimbursement.models.commonModel.Vendor)={[/addNewVendor],methods=[POST]}, public java.util.Map com.Reimbursement.controllers.site.CommonController.deleteVendor(org.springframework.ui.ModelMap,int)={[/deleteVendor/{vendor_Id}],methods=[GET]}}
2022-05-20 15:10:02.665  INFO 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/viewAllLocations],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.fetchAllLocations()
2022-05-20 15:10:02.665  INFO 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/locationEvent/update],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.String> com.Reimbursement.controllers.site.CommonController.locationEventUpdate(org.springframework.ui.ModelMap,javax.servlet.http.HttpServletRequest)
2022-05-20 15:10:02.665  INFO 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/common/editLocation/{location_id}],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.Object> com.Reimbursement.controllers.site.CommonController.editExistLocation(org.springframework.ui.ModelMap,int)
2022-05-20 15:10:02.665  INFO 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/editVendorDetails/{vendor_Id}],methods=[GET]}" onto public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.editVendorDetails(int)
2022-05-20 15:10:02.681  INFO 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/common/deleteRole/{role_id}],methods=[GET]}" onto public java.util.Map<java.lang.String, java.lang.String> com.Reimbursement.controllers.site.CommonController.deleteOrgnigationRole(org.springframework.ui.ModelMap,int)
2022-05-20 15:10:02.681  INFO 6356 --- [restartedMain] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/changePassword],methods=[POST]}" onto public org.springframework.web.servlet.ModelAndView com.Reimbursement.controllers.site.CommonController.changePasswordDoing(java.lang.String,java.lang.String,java.lang.String)
